Date,unit_total,close,volume,amt,turn,NAV_adj,BBI,MA,MACD,BIAS,KDJ,stage_high,stage_low,risk_downside,fund_id
2018/10/8,65747300,1.421,485200,697374,0.738,1.424,1.4498,1.4572,-0.0183,-0.3972,69.8851,FALSE,FALSE,-26.4083,179
2018/10/9,65747300,1.414,287700,409417,0.4376,1.417,1.4425,1.4512,-0.0194,-0.9168,55.1709,FALSE,FALSE,-26.77,179
2018/10/10,65747300,1.398,292400,409256,0.4447,1.403,1.4317,1.4384,-0.0214,-2.0208,39.7806,FALSE,FALSE,-27.4935,179
2018/10/11,66177000,1.33,907200,1227587,1.3709,1.34,1.4158,1.4098,-0.0281,-6.5683,26.7287,FALSE,TRUE,-30.7494,179
2018/10/12,66247300,1.347,391800,523298,0.5914,1.348,1.4025,1.382,-0.0316,-5.1186,22.1136,FALSE,TRUE,-30.3359,179
2018/10/15,66247300,1.338,286100,387625,0.4319,1.337,1.3881,1.3654,-0.0348,-5.3246,17.1964,FALSE,TRUE,-30.9044,179
2018/10/16,66612000,1.304,383000,505032,0.575,1.306,1.3769,1.3434,-0.0396,-7.1721,13.1737,FALSE,TRUE,-32.5065,179
2018/10/17,67747300,1.292,1486300,1924438,2.1939,1.295,1.3622,1.3222,-0.0438,-7.2117,12.6864,FALSE,TRUE,-33.0749,179
2018/10/18,68597900,1.247,1560700,1969533,2.2751,1.251,1.3419,1.3056,-0.0503,-9.375,8.8708,FALSE,TRUE,-35.3488,179
2018/10/19,69747300,1.266,2187100,2729230,3.1357,1.274,1.3298,1.2894,-0.0532,-6.8889,13.0229,FALSE,TRUE,-34.1602,179
2018/10/22,68598600,1.335,3205600,4240848,4.673,1.337,1.3287,1.2888,-0.0494,-0.9766,27.7774,FALSE,TRUE,-30.9044,179
2018/10/23,68247300,1.31,1268849,1672515,1.8592,1.311,1.3275,1.29,-0.0478,-1.7623,38.8379,FALSE,TRUE,-32.2481,179
2018/10/24,67747300,1.286,610200,793285,0.9007,1.291,1.3241,1.2888,-0.048,-2.7415,41.1501,FALSE,FALSE,-33.2817,179
2018/10/25,68247300,1.272,1712300,2162339,2.509,1.276,1.3136,1.2938,-0.0487,-2.9316,39.4053,FALSE,FALSE,-34.0568,179
2018/10/26,68247300,1.267,2242000,2871113,3.2851,1.276,1.3068,1.294,-0.0491,-2.501,38.4395,FALSE,FALSE,-34.0568,179
2018/9/26,1279777800,0.929,47395500,44169286,3.7034,0.9325,0.9075,0.9154,0.0015,3.8956,79.8945,FALSE,FALSE,-10.0338,180
2018/9/27,1273777800,0.927,31253000,29043199,2.4536,0.9298,0.9104,0.9208,0.0032,3.2198,80.7992,FALSE,FALSE,-10.2943,180
2018/9/28,1267777800,0.938,38473700,35955035,3.0347,0.9392,0.9151,0.9282,0.0054,3.8664,86.2471,FALSE,FALSE,-9.3874,180
